问题,回答
黑熊精最初是如何与金池长老相识的？,黑熊精碰到一个小和尚，觉得他有趣，给了他一些金银财宝，并教他长生之术。这个小和尚就是后来的金池长老。
凌虚子和白衣秀士分别是什么妖怪？,凌虚子是苍狼精，白衣秀士是白花蛇怪。
广谋和广智分别是如何进入观音禅院的？,广谋是一个想修习佛教的小狼妖，由凌虚子介绍并被金池长老取名为广谋；广智是一个小蛇精，由白衣秀士送入禅院，法名为广智。
观音禅院被烧毁的原因是什么？,金池长老贪图唐僧的袈裟，广谋建议杀死唐僧，广智建议放火。但他们的计划被孙悟空得知，孙悟空保护了唐僧并将观音禅院烧毁。
黑熊精在取经后做了什么？,西天取经后，黑熊精参与了围剿孙悟空的行动，孙悟空死后，黑熊精得到了悟空的六根之一，并回到黑风山试图炼化遗物。
黑熊精尝试通过哪些方式来统一黑风山的妖怪？,黑熊精尝试复活凌虚子，但失败；接着扶持了一个从狮驼国来的狼妖灵虚子，但其修炼方法引起不满；最后尝试复活金池长老但也没有成功。
黑风山土地学到了什么技能？,黑风山的土地从一位老道士那里学到了定身法和聚形散气等技能。
老道士为什么教授土地法术？,老道士说将来会有一个天命人路过此地，他不方便见此人，所以请土地代为传授法术。
在金池长老死后，他的魂魄变成了什么,金池长老的魂魄仍然惦记着他生前藏匿的财物，结果并没有复活到肉体上，而是附在了财物上，形成了一个精神失常的大头怪物
老道士在离开时掉落了什么物品？,老道士在驾云离开时，掉下了一片菩提叶。
